uid,title,journal_fix,journal_short,year_fix,keywords_fix,authors_fix
WOS:A1993LQ08700001,ELEMENTAL COMPOSITION OF THE POLYPHOSPHATE BODIES IN MICROBIAL-CELLS FROM A SMALL LAKE,Archiv Fur Hydrobiologie,Archiv Fur Hydrobiologie,1993,NA,"jensen_te,corpe_wa"
WOS:A1993LR35000003,A MORPHOMETRIC STUDY OF NATURAL AND LABORATORY GROWN GLOEOTRICHIA SPECIES,Microbios,Microbios,1993,"morphometric analysis,gloeotrichia",jensen_te
WOS:A1994PB90600008,FINE-STRUCTURE AND IMMUNOLOCALIZATION OF PROTEINS IN APHANIZOMENON SP FROM THE BALTIC SEA,European Journal of Phycology,European Journal of...,1994,"aphanizomenon-flos-aquae,cyanobacteria,phycoerythrin,plankton,ultrastructure","janson_s,carpenter_ej,bergman_b"
WOS:A1995QE74200004,QUANTIFICATION OF TOTAL AND METAL TOXICITY IN WASTE-WATER USING ALGAL BIOASSAYS,Aquatic Toxicology,Aquatic Toxicology,1995,"algal assays,toxicity,complexing capacity,x-ray microanalysis,polyphosphate bodies","wong_sl,wainwright_jf,pimenta_j"
WOS:A1995RF34400002,RESPONSES OF FRESH-WATER ALGAE TO INHIBITORY VANADIUM CONCENTRATIONS - THE ROLE OF PHOSPHORUS,Journal of Phycology,Journal of Phycology,1995,"bacillariophyceae,chlorophyta,cyanobacteria,growth,inhibition,p quota,phosphate turnover time,phosphorus state,photosynthesis,scenedesmus acutus,scenedesmus obliquus,vanadium","nalewajko_c,lee_k,olaveson_m"
WOS:A1995RW20000019,INFORMATION ABOUT PREVIOUS PHOSPHATE FLUCTUATIONS IS STORED VIA AN ADAPTIVE RESPONSE OF THE HIGH-AFFINITY PHOSPHATE-UPTAKE SYSTEM OF THE CYANOBACTERIUM ANACYSTIS-NIDULANS,Planta,Planta,1995,"adaptation,anacystis,cyanobacterium,information storage,phosphate uptake system,threshold concentration","wagner_f,falkner_r,falkner_g"
WOS:A1995TD90300008,CARBON AVAILABILITY AND THE PATTERN OF CYANOBACTERIAL DOMINANCE IN ENRICHED LOW-CARBON LAKES,Journal of Phycology,Journal of Phycology,1995,"aphanizomenon schindleri,buoyancy regulation,carbon availability,cyanobacteria,eutrophication,gas vacuoles","klemer_ar,hendzel_ll,findlay_dl,hedin_ra,mageau_mt,konopka_a"
WOS:A1995TL60100007,A comparative study of the catalytic action of water-miscible organic solvents on the hydrolytic degradation of long-chain polyphosphates,Polymer Degradation and Stability,Polymer Degradation and...,1995,NA,"gupta_r,rayeeny_sa,das_ss,bhargava_hn"
WOS:A1996UP49500007,Elemental composition of phytoplankton in a subtropical lake: X-ray microanalytical studies on the dominant algae Spirulina platensis (Cyanophyta) and Cyclotella meneghiniana (Bacillariophyceae),European Journal of Phycology,European Journal of...,1996,"cyclotella,pollutant metals,phosphorus,spirulina,x-ray microanalysis","elbestawy_e,bellinger_eg,sigee_dc"
WOS:A1996VF17900001,Polyphosphate bodies aligned along the anterior axoneme of the Cryptomonad rhodomonas lacustris: Possible relevance to symbiotic origin of undulipodia,Symbiosis,Symbiosis,1996,"polyphosphate,undulipodia,cryptomonads,symbiotic origin",heldal_m
WOS:A1996VF37100011,Inorganic polyphosphates in the developing freshwater sponge Ephydatia muelleri: Effect of stress by polluted waters,Environmental Toxicology and Chemistry,Environmental Toxicology and...,1996,"polyphosphate,pollution,theophylline,gemmulation,ephydatia muelleri","imsiecke_g,munkner_j,lorenz_b,bachinski_n,muller_weg,schroder_hc"
WOS:A1997WH70800005,Detection of reserve polymer synthesis genes in natural bacterial populations,Fems Microbiology Ecology,Fems Microbiology Ecology,1997,"polyphosphate,polyhydroxyalkanoate,ppk genes,pha genes,bacterial survival,natural water","lopez_ni,pettinari_mj,mendez_bs"
WOS:A1997WU24600004,Improved production of postlarval white shrimp through supplementation of L-ascorbyl-2-polyphosphate in their diet,Aquaculture International,Aquaculture International,1997,"ascorbic acid,ascorbic acid polyphosphate,larviculture,white shrimp (penaeus vannamei),vibrio harveyi,vitamin c","kontara_ek,merchie_g,lavens_p,robles_r,nelis_h,deleenheer_a,sorgeloos_p"
WOS:A1997WV15400002,"Elemental composition, correlations, and ratios within a population of Staurastrum planctonicum (Zygnematales): An X-ray microanalytical study",Journal of Phycology,Journal of Phycology,1997,"desmids,freshwater ecology,principal factor analysis,staurastrum,x-ray microanalysis,zygnematales","sigee_dc,holland_r"
WOS:A1997XD82700033,Preparation and thermal decomposition of hexa-ammonium tetraphosphate dihydrate (NH4)(6)P4O13 center dot 2H(2)O,Journal of Materials Science,Journal of Materials...,1997,NA,"takenaka_a,fukuma_y,yasuda_a,motooka_i,nariai_h"
WOS:A1997XW86900012,Investigation of polymer organic deposit formed on nickel phosphate in oxidative dehydrogenation of ethylbenzene,Reactive and Functional Polymers,Reactive and Functional...,1997,"polymeric catalyst,oxidative dehydrogenation","dziewiecki_z,jagiello_m,makowski_a"
